dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.219604,5.469207,2.755950,1.295967,-2.976190,0.000000,0.221396
0.020000,3.244364,5.474518,2.781274,1.236444,-2.976190,0.000000,0.201176
0.020000,3.268056,5.479112,2.805408,1.176920,-2.976190,0.000000,0.181877
0.020000,3.290658,5.483054,2.828351,1.117396,-2.976190,0.000000,0.163533
0.020000,3.312150,5.486409,2.850103,1.057872,-2.976190,0.000000,0.146169
0.020000,3.332517,5.489237,2.870666,0.998348,-2.976190,-0.000000,0.129801
0.020000,3.351744,5.491597,2.890037,0.938824,-2.976190,0.000000,0.114438
0.020000,3.369820,5.493543,2.908219,0.879301,-2.976190,-0.000000,0.100085
0.020000,3.386737,5.495128,2.925209,0.819777,-2.976190,0.000000,0.086739
0.020000,3.402486,5.496400,2.941010,0.760253,-2.976190,0.000000,0.074396
0.020000,3.417061,5.497403,2.955619,0.700729,-2.976190,-0.000000,0.063047
0.020000,3.430458,5.498179,2.969039,0.641205,-2.976190,0.000000,0.052681
0.020000,3.442673,5.498765,2.981268,0.581682,-2.976190,0.000000,0.043288
0.020000,3.453703,5.499196,2.992306,0.522158,-2.976190,-0.000000,0.034856
0.020000,3.463546,5.499503,3.002154,0.462634,-2.976190,0.000000,0.027371
0.020000,3.472201,5.499711,3.010811,0.403110,-2.976190,-0.000000,0.020822
0.020000,3.479667,5.499846,3.018278,0.343586,-2.976190,0.000000,0.015198
0.020000,3.485943,5.499926,3.024555,0.284063,-2.976190,0.000000,0.010488
0.020000,3.491028,5.499970,3.029641,0.224539,-2.976190,0.000000,0.006684
0.020000,3.494924,5.499990,3.033536,0.165015,-2.976190,0.000000,0.003777
0.020000,3.497629,5.499998,3.036241,0.105491,-2.976190,-0.000000,0.001763
0.020000,3.499189,5.500000,3.037801,0.050486,-2.750249,11.297083,0.000603
0.020000,3.499847,5.500000,3.038459,0.015322,-1.758185,49.603175,0.000114
0.020000,3.500000,5.500000,3.038613,0.000000,-0.766122,49.603175,0.000000
0.020000,3.500000,5.500000,3.038613,0.000000,0.000000,38.306092,0.000000
