dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.962566,0.007353,2.963480,1.717959,0.497959,0.000000,0.005307
0.050000,3.049085,0.007820,3.050000,1.742857,0.497959,-0.000000,0.005497
0.050000,3.136849,0.008311,3.137765,1.767755,0.497959,0.000000,0.005692
0.050000,3.225858,0.008826,3.226776,1.792653,0.497959,-0.000000,0.005892
0.050000,3.316111,0.009367,3.317031,1.817551,0.497959,0.000000,0.006098
0.050000,3.407610,0.009935,3.408531,1.842449,0.497959,0.000000,0.006310
0.050000,3.500353,0.010530,3.501276,1.867347,0.497959,0.000000,0.006528
0.050000,3.594340,0.011155,3.595265,1.892245,0.497959,-0.000000,0.006752
0.050000,3.689573,0.011808,3.690500,1.917143,0.497959,0.000000,0.006983
0.050000,3.786050,0.012494,3.786980,1.942041,0.497959,0.000000,0.007220
0.050000,3.883772,0.013211,3.884704,1.966939,0.497959,0.000000,0.007463
0.050000,3.982738,0.013962,3.983673,1.991837,0.497959,0.000000,0.007714
0.050000,4.082949,0.014748,4.083888,2.016735,0.497959,-0.000000,0.007973
0.050000,4.184405,0.015570,4.185347,2.041633,0.497959,0.000000,0.008239
0.050000,4.287106,0.016430,4.288051,2.066531,0.497959,0.000000,0.008513
0.050000,4.391051,0.017330,4.392000,2.091429,0.497959,-0.000000,0.008795
0.050000,4.496241,0.018270,4.497194,2.116327,0.497959,0.000000,0.009085
0.050000,4.602675,0.019253,4.603633,2.141224,0.497959,0.000000,0.009385
0.050000,4.710354,0.020280,4.711316,2.166122,0.497959,0.000000,0.009694
0.050000,4.819277,0.021354,4.820245,2.191020,0.497959,0.000000,0.010012
0.050000,4.929445,0.022475,4.930418,2.215918,0.497959,0.000000,0.010341
0.050000,5.040857,0.023646,5.041837,2.240816,0.497959,0.000000,0.010680
0.050000,5.153513,0.024869,5.154500,2.265714,0.497959,0.000000,0.011030
0.050000,5.267414,0.026146,5.268408,2.290612,0.497959,0.000000,0.011392
0.050000,5.382560,0.027479,5.383561,2.315510,0.497959,-0.000000,0.011766
0.050000,5.498949,0.028871,5.499959,2.340408,0.497959,0.000000,0.012152
0.050000,5.616583,0.030324,5.617602,2.365306,0.497959,0.000000,0.012551
0.050000,5.735461,0.031840,5.736490,2.390204,0.497959,-0.000000,0.012964
0.050000,5.855584,0.033423,5.856622,2.415102,0.497959,0.000000,0.013392
0.050000,5.976950,0.035075,5.978000,2.440000,0.497959,0.000000,0.013835
0.050000,6.099560,0.036800,6.100622,2.464898,0.497959,0.000000,0.014294
0.050000,6.223414,0.038600,6.224490,2.489796,0.497959,0.000000,0.014770
0.050000,6.348513,0.040478,6.349602,2.514694,0.497959,0.000000,0.015264
0.050000,6.474855,0.042439,6.475959,2.539592,0.497959,0.000000,0.015776
0.050000,6.602440,0.044486,6.603561,2.564490,0.497959,-0.000000,0.016309
0.050000,6.731269,0.046623,6.732408,2.589388,0.497959,0.000000,0.016863
0.050000,6.861342,0.048854,6.862500,2.614286,0.497959,0.000000,0.017439
0.050000,6.992658,0.051183,6.993837,2.639184,0.497959,0.000000,0.018038
0.050000,7.125217,0.053616,7.126418,2.664082,0.497959,0.000000,0.018663
0.050000,7.259020,0.056157,7.260245,2.688980,0.497959,0.000000,0.019315
0.050000,7.394065,0.058811,7.395316,2.713878,0.497959,0.000000,0.019996
0.050000,7.530353,0.061585,7.531633,2.738776,0.497959,0.000000,0.020707
0.050000,7.667884,0.064484,7.669194,2.763673,0.497959,-0.000000,0.021451
0.050000,7.806657,0.067515,7.808000,2.788571,0.497959,0.000000,0.022230
0.050000,7.946672,0.070685,7.948051,2.813469,0.497959,-0.000000,0.023047
0.050000,8.087929,0.074001,8.089347,2.838367,0.497959,0.000000,0.023905
0.050000,8.230428,0.077472,8.231888,2.863265,0.497959,0.000000,0.024806
0.050000,8.374167,0.081106,8.375673,2.888163,0.497959,0.000000,0.025755
0.050000,8.519148,0.084913,8.520704,2.913061,0.497959,0.000000,0.026756
0.050000,8.665369,0.088903,8.666980,2.937959,0.497959,0.000000,0.027812
0.050000,8.812830,0.093087,8.814500,2.962857,0.497959,0.000000,0.028929
0.050000,8.961531,0.097477,8.963265,2.987755,0.497959,0.000000,0.030114
0.050000,9.111470,0.102088,9.113276,3.012653,0.497959,0.000000,0.031371
0.050000,9.262648,0.106932,9.264531,3.037551,0.497959,0.000000,0.032710
0.050000,9.415062,0.112027,9.417031,3.062449,0.497959,-0.000000,0.034138
0.050000,9.568714,0.117391,9.570776,3.087347,0.497959,0.000000,0.035664
0.050000,9.723600,0.123043,9.725765,3.112245,0.497959,-0.000000,0.037302
0.050000,9.879721,0.129005,9.882000,3.137143,0.497959,0.000000,0.039063
0.050000,10.037075,0.135303,10.039480,3.162041,0.497959,0.000000,0.040964
0.050000,10.195659,0.141965,10.198204,3.186939,0.497959,0.000000,0.043023
0.050000,10.355473,0.149022,10.358173,3.211837,0.497959,0.000000,0.045263
0.050000,10.516513,0.156510,10.519388,3.236735,0.497959,0.000000,0.047710
0.050000,10.678777,0.164473,10.681847,3.261633,0.497959,0.000000,0.050398
0.050000,10.842261,0.172959,10.845551,3.286531,0.497959,0.000000,0.053366
0.050000,11.006961,0.182025,11.010500,3.311429,0.497959,-0.000000,0.056665
0.050000,11.172870,0.191738,11.176694,3.336327,0.497959,0.000000,0.060361
0.050000,11.339983,0.202181,11.344133,3.361224,0.497959,0.000000,0.064536
0.050000,11.508290,0.213451,11.512816,3.386122,0.497959,0.000000,0.069301
0.050000,11.677778,0.225673,11.682745,3.411020,0.497959,0.000000,0.074804
0.050000,11.848431,0.239002,11.853918,3.435918,0.497959,0.000000,0.081253
0.050000,12.020227,0.253637,12.026337,3.460816,0.497959,0.000000,0.088945
0.050000,12.193132,0.269847,12.200000,3.485714,0.497959,-0.000000,0.098327
0.050000,12.367094,0.288002,12.374908,3.510612,0.497959,0.000000,0.110110
0.050000,12.542032,0.308641,12.551061,3.535510,0.497959,0.000000,0.125496
0.050000,12.717800,0.332605,12.728459,3.560408,0.497959,-0.000000,0.146742
0.050000,12.894111,0.361332,12.907102,3.585306,0.497959,0.000000,0.178711
0.050000,13.070259,0.397706,13.086990,3.610204,0.497959,0.000000,0.234623
0.050000,13.243687,0.449504,13.268122,3.635102,0.497959,0.000000,0.371684
